fecha,t,h3_id,active
2009-01-03,1,892a100d62fffff,1
2009-01-03,1,892a10725b3ffff,1
2009-01-03,3,892a1072c67ffff,1
2009-01-03,4,892a100d2afffff,1
2009-01-03,4,892a100d2dbffff,1
2009-01-03,5,892a100d263ffff,1
2009-01-03,5,892a100d613ffff,1
2009-01-03,9,892a100d63bffff,1
2009-01-03,11,892a100d35bffff,1
2009-01-03,12,892a1072cabffff,1
2009-01-03,12,892a1072cb7ffff,1
2009-01-03,13,892a10721b3ffff,1
2009-01-03,14,892a100d257ffff,1
2009-01-03,18,892a100d62fffff,1
2009-01-03,24,892a1072cb3ffff,1
2009-01-03,27,892a1008c83ffff,1
2009-01-03,31,892a10721b7ffff,1
2009-01-03,54,892a100d207ffff,1
2009-01-03,54,892a1072c97ffff,1
2009-01-03,58,892a100d2cbffff,1
2009-01-03,59,892a100d283ffff,1
2009-01-03,59,892a1072c3bffff,1
2009-01-03,60,892a100d22bffff,1
2009-01-03,61,892a100898bffff,1
2009-01-03,61,892a100d277ffff,1
2009-01-03,62,892a10089bbffff,1
2009-01-03,63,892a100d663ffff,1
2009-01-03,68,892a100d6cfffff,1
2009-01-03,71,892a1072c8fffff,1
2009-01-03,74,892a100d607ffff,1
2009-01-03,75,892a100d213ffff,1
2009-01-03,75,892a10725b3ffff,1
2009-01-03,76,892a100d663ffff,1
2009-01-03,78,892a10088afffff,1
2009-01-03,78,892a100d26fffff,1
2009-01-03,79,892a10725b7ffff,1
2009-01-03,82,892a1008937ffff,1
2009-01-03,82,892a100d35bffff,1
2009-01-03,84,892a100d443ffff,1
2009-01-03,86,892a100d66fffff,1
2009-01-03,87,892a100888fffff,1
2009-01-03,89,892a1072c1bffff,1
2009-01-03,90,892a100d20fffff,1
2009-01-03,93,892a100d647ffff,1
2009-01-03,97,892a100d20bffff,1
2009-01-03,98,892a1008b93ffff,1
2009-01-03,101,892a100d613ffff,1
2009-01-03,106,892a1008b93ffff,1
2009-01-03,106,892a100d647ffff,1
2009-01-03,107,892a1072517ffff,1
2009-01-03,108,892a100d667ffff,1
2009-01-03,111,892a100d257ffff,1
2009-01-03,114,892a100d6cfffff,1
2009-01-03,115,892a1008933ffff,1
2009-01-03,116,892a100d68fffff,1
2009-01-03,117,892a1008807ffff,1
2009-01-03,118,892a100d61bffff,1
2009-01-03,118,892a1072c07ffff,1
2009-01-03,119,892a1008907ffff,1
2009-01-03,119,892a10725a3ffff,1
2009-01-03,120,892a100d617ffff,1
2009-01-03,122,892a1072c8fffff,1
2009-01-03,123,892a100d2afffff,1
2009-01-03,129,892a100d35bffff,1
2009-01-03,133,892a100d443ffff,1
2009-01-03,134,892a100d283ffff,1
2009-01-03,134,892a100d663ffff,1
2009-01-03,134,892a100d697ffff,1
2009-01-03,136,892a10725b3ffff,1
2009-01-03,137,892a10089a3ffff,1
2009-01-03,137,892a100d217ffff,1
2009-01-03,140,892a1072cc3ffff,1
2009-01-03,142,892a100d22bffff,1
2009-01-03,142,892a100d24fffff,1
2009-01-03,142,892a100d633ffff,1
2009-01-10,1,892a10725a7ffff,1
2009-01-10,4,892a1008923ffff,1
2009-01-10,4,892a100d243ffff,1
2009-01-10,6,892a1072cb3ffff,1
2009-01-10,8,892a10089a3ffff,1
2009-01-10,8,892a1072c87ffff,1
2009-01-10,14,892a1072c13ffff,1
2009-01-10,14,892a1072ddbffff,1
2009-01-10,15,892a1008883ffff,1
2009-01-10,16,892a1072c1bffff,1
2009-01-10,18,892a10721afffff,1
2009-01-10,21,892a1072cb7ffff,1
2009-01-10,22,892a10721a3ffff,1
2009-01-10,36,892a100d45bffff,1
2009-01-10,50,892a10088b7ffff,1
2009-01-10,54,892a10088afffff,1
2009-01-10,54,892a100d2c3ffff,1
2009-01-10,55,892a1008967ffff,1
2009-01-10,57,892a100f25bffff,1
2009-01-10,61,892a1008933ffff,1
2009-01-10,62,892a100d2bbffff,1
2009-01-10,63,892a100898bffff,1
2009-01-10,67,892a1008967ffff,1
2009-01-10,68,892a10725abffff,1
2009-01-10,72,892a1072197ffff,1
2009-01-10,78,892a100d653ffff,1
2009-01-10,80,892a100d277ffff,1
2009-01-10,82,892a100d677ffff,1
2009-01-10,82,892a100d6a3ffff,1
2009-01-10,83,892a1008917ffff,1
2009-01-10,84,892a100d68fffff,1
2009-01-10,84,892a1072cdbffff,1
2009-01-10,87,892a100d2cbffff,1
2009-01-10,88,892a100d273ffff,1
2009-01-10,90,892a10721a7ffff,1
2009-01-10,91,892a1072c17ffff,1
2009-01-10,92,892a100d653ffff,1
2009-01-10,98,892a1072197ffff,1
2009-01-10,99,892a100d23bffff,1
2009-01-10,101,892a100d66fffff,1
2009-01-10,104,892a100d267ffff,1
2009-01-10,105,892a10725b7ffff,1
2009-01-10,106,892a100d29bffff,1
2009-01-10,106,892a1072c03ffff,1
2009-01-10,107,892a100d64bffff,1
2009-01-10,108,892a100d603ffff,1
2009-01-10,109,892a1008d23ffff,1
2009-01-10,110,892a100895bffff,1
2009-01-10,111,892a1008bafffff,1
2009-01-10,114,892a1008d63ffff,1
2009-01-10,118,892a100d2b3ffff,1
2009-01-10,120,892a1008977ffff,1
2009-01-10,120,892a100d207ffff,1
2009-01-10,124,892a100d26bffff,1
2009-01-10,124,892a1072c47ffff,1
2009-01-10,126,892a100d6abffff,1
2009-01-10,134,892a1072cc3ffff,1
2009-01-10,137,892a100d20fffff,1
2009-01-10,137,892a100d2cbffff,1
2009-01-10,140,892a100d66bffff,1
2009-01-10,141,892a10089a3ffff,1
2009-01-10,141,892a100d34bffff,1
2009-01-10,142,892a1072c93ffff,1
2009-01-10,143,892a100d233ffff,1
2009-01-10,144,892a100d657ffff,1
2009-01-17,4,892a1072197ffff,1
2009-01-17,7,892a100d2afffff,1
2009-01-17,9,892a100d20bffff,1
2009-01-17,9,892a100d617ffff,1
2009-01-17,12,892a100d64fffff,1
2009-01-17,15,892a100883bffff,1
2009-01-17,16,892a1072c0bffff,1
2009-01-17,22,892a100d22bffff,1
2009-01-17,22,892a1072187ffff,1
2009-01-17,23,892a100d607ffff,1
2009-01-17,26,892a100d29bffff,1
2009-01-17,27,892a100892fffff,1
2009-01-17,35,892a107288bffff,1
2009-01-17,46,892a100d26fffff,1
2009-01-17,52,892a1072c13ffff,1
2009-01-17,58,892a100d45bffff,1
2009-01-17,60,892a100d247ffff,1
2009-01-17,61,892a100898bffff,1
2009-01-17,62,892a1072cd3ffff,1
2009-01-17,65,892a100d2abffff,1
2009-01-17,70,892a100d67bffff,1
2009-01-17,70,892a1072c93ffff,1
2009-01-17,71,892a1008963ffff,1
2009-01-17,71,892a100d677ffff,1
2009-01-17,71,892a100d68bffff,1
2009-01-17,72,892a100d273ffff,1
2009-01-17,72,892a1072c67ffff,1
2009-01-17,74,892a100d65bffff,1
2009-01-17,74,892a1072803ffff,1
2009-01-17,75,892a100d227ffff,1
2009-01-17,75,892a100d2d7ffff,1
2009-01-17,77,892a100894bffff,1
2009-01-17,78,892a1008817ffff,1
2009-01-17,79,892a100d657ffff,1
2009-01-17,80,892a100d22fffff,1
2009-01-17,80,892a100d2cbffff,1
2009-01-17,80,892a100d2dbffff,1
2009-01-17,81,892a100d6c7ffff,1
2009-01-17,81,892a1072c2bffff,1
2009-01-17,82,892a100d04bffff,1
2009-01-17,85,892a100d613ffff,1
2009-01-17,86,892a1008927ffff,1
2009-01-17,87,892a1072507ffff,1
2009-01-17,88,892a100d273ffff,1
2009-01-17,89,892a1008913ffff,1
2009-01-17,89,892a1008b27ffff,1
2009-01-17,89,892a100d60bffff,1
2009-01-17,94,892a1072807ffff,1
2009-01-17,95,892a10725a7ffff,1
2009-01-17,96,892a100890bffff,1
2009-01-17,98,892a100d2c7ffff,1
2009-01-17,101,892a100893bffff,1
2009-01-17,102,892a100d68bffff,1
2009-01-17,104,892a1008907ffff,1
2009-01-17,105,892a100d6c7ffff,1
2009-01-17,107,892a100882bffff,1
2009-01-17,108,892a100882bffff,1
2009-01-17,108,892a1072197ffff,1
2009-01-17,110,892a100d277ffff,1
2009-01-17,113,892a1072ca7ffff,1
2009-01-17,116,892a10089a3ffff,1
2009-01-17,116,892a100d68fffff,1
2009-01-17,117,892a100d617ffff,1
2009-01-17,117,892a1072c93ffff,1
2009-01-17,118,892a100892bffff,1
2009-01-17,119,892a100d297ffff,1
2009-01-17,121,892a100d287ffff,1
2009-01-17,121,892a100d607ffff,1
2009-01-17,122,892a1072c7bffff,1
2009-01-17,123,892a1008983ffff,1
2009-01-17,124,892a100d6abffff,1
2009-01-17,125,892a100d6b3ffff,1
2009-01-17,126,892a100d3dbffff,1
2009-01-17,126,892a100d65bffff,1
2009-01-17,127,892a100d22bffff,1
2009-01-17,128,892a100d2bbffff,1
2009-01-17,128,892a100d2cbffff,1
2009-01-17,129,892a100d223ffff,1
2009-01-17,130,892a100d277ffff,1
2009-01-17,131,892a1072c1bffff,1
2009-01-17,132,892a1072c0bffff,1
2009-01-17,134,892a100883bffff,1
2009-01-17,134,892a1072cb7ffff,1
2009-01-17,135,892a1072cd3ffff,1
2009-01-17,136,892a100d223ffff,1
2009-01-17,137,892a1008833ffff,1
2009-01-17,137,892a1072c67ffff,1
2009-01-17,138,892a1072c97ffff,1
2009-01-17,140,892a1072c03ffff,1
2009-01-17,141,892a100d62bffff,1
2009-01-17,141,892a1072c03ffff,1
2009-01-17,142,892a1072c87ffff,1
2009-01-17,144,892a100d6bbffff,1
2009-01-17,144,892a10721afffff,1
2009-01-24,2,892a100d24fffff,1
2009-01-24,3,892a10721b3ffff,1
2009-01-24,3,892a1072c93ffff,1
2009-01-24,4,892a100d64fffff,1
2009-01-24,6,892a100d2c7ffff,1
2009-01-24,10,892a100d36bffff,1
2009-01-24,11,892a1072193ffff,1
2009-01-24,13,892a1072c97ffff,1
2009-01-24,13,892a1072cd3ffff,1
2009-01-24,14,892a1072ca7ffff,1
2009-01-24,15,892a100d2bbffff,1
2009-01-24,16,892a1072c97ffff,1
2009-01-24,17,892a10721a3ffff,1
2009-01-24,19,892a10721b3ffff,1
2009-01-24,35,892a10728c7ffff,1
2009-01-24,49,892a100d68fffff,1
2009-01-24,55,892a1008907ffff,1
2009-01-24,56,892a100d28fffff,1
2009-01-24,58,892a100d453ffff,1
2009-01-24,58,892a100d607ffff,1
2009-01-24,59,892a1008807ffff,1
2009-01-24,59,892a100d4dbffff,1
2009-01-24,59,892a10728d3ffff,1
2009-01-24,60,892a10725abffff,1
2009-01-24,60,892a1072cd3ffff,1
2009-01-24,61,892a100d263ffff,1
2009-01-24,64,892a10725a3ffff,1
2009-01-24,65,892a1008977ffff,1
2009-01-24,65,892a1072c67ffff,1
2009-01-24,66,892a1008977ffff,1
2009-01-24,70,892a1008d6fffff,1
2009-01-24,70,892a1072cd7ffff,1
2009-01-24,71,892a100d66bffff,1
2009-01-24,71,892a1072587ffff,1
2009-01-24,75,892a10725a7ffff,1
2009-01-24,76,892a1008ba3ffff,1
2009-01-24,76,892a100d60bffff,1
2009-01-24,76,892a107258fffff,1
2009-01-24,82,892a10725b7ffff,1
2009-01-24,83,892a100d227ffff,1
2009-01-24,83,892a100d283ffff,1
2009-01-24,84,892a1008b97ffff,1
2009-01-24,84,892a100d68bffff,1
2009-01-24,86,892a100d243ffff,1
2009-01-24,89,892a100d60fffff,1
2009-01-24,93,892a100d28bffff,1
2009-01-24,95,892a100d273ffff,1
2009-01-24,96,892a100d68bffff,1
2009-01-24,96,892a1072c93ffff,1
2009-01-24,97,892a100882bffff,1
2009-01-24,97,892a100d603ffff,1
2009-01-24,97,892a1072c83ffff,1
2009-01-24,100,892a100d243ffff,1
2009-01-24,103,892a100894bffff,1
2009-01-24,104,892a1072c77ffff,1
2009-01-24,105,892a100d28fffff,1
2009-01-24,106,892a10089abffff,1
2009-01-24,107,892a10089b7ffff,1
2009-01-24,111,892a1008953ffff,1
2009-01-24,112,892a100d663ffff,1
2009-01-24,113,892a1072c2fffff,1
2009-01-24,113,892a1072cbbffff,1
2009-01-24,114,892a1008b2fffff,1
2009-01-24,115,892a10089d7ffff,1
2009-01-24,117,892a10725afffff,1
2009-01-24,118,892a1008933ffff,1
2009-01-24,118,892a1008d47ffff,1
2009-01-24,120,892a1008b17ffff,1
2009-01-24,120,892a100d26bffff,1
2009-01-24,122,892a100d607ffff,1
2009-01-24,123,892a1072cd3ffff,1
2009-01-24,124,892a100d2c3ffff,1
2009-01-24,124,892a100d687ffff,1
2009-01-24,126,892a100d21bffff,1
2009-01-24,127,892a100d34bffff,1
2009-01-24,128,892a100d62bffff,1
2009-01-24,128,892a1072cb3ffff,1
2009-01-24,130,892a100d64fffff,1
2009-01-24,133,892a1008823ffff,1
2009-01-24,134,892a1008bb3ffff,1
2009-01-24,134,892a1072c07ffff,1
2009-01-24,136,892a1072c83ffff,1
2009-01-24,137,892a1072cd3ffff,1
2009-01-24,138,892a100899bffff,1
2009-01-24,138,892a100d2c7ffff,1
2009-01-24,138,892a1072c97ffff,1
2009-01-24,140,892a100d343ffff,1
2009-01-24,141,892a100d2cbffff,1
2009-01-24,142,892a100d217ffff,1
2009-01-24,142,892a1072c57ffff,1
2009-01-24,142,892a1072c8fffff,1
2009-01-24,143,892a1008987ffff,1
2009-01-24,143,892a100d633ffff,1
2009-01-31,1,892a1072c57ffff,1
2009-01-31,1,892a1072cc7ffff,1
2009-01-31,3,892a1008b27ffff,1
2009-01-31,3,892a1072c97ffff,1
2009-01-31,5,892a100d63bffff,1
2009-01-31,5,892a1072cb3ffff,1
2009-01-31,7,892a100d22bffff,1
2009-01-31,7,892a100d257ffff,1
2009-01-31,8,892a100d29bffff,1
2009-01-31,9,892a1072c3bffff,1
2009-01-31,10,892a100d45bffff,1
2009-01-31,11,892a10721b7ffff,1
2009-01-31,13,892a10725b7ffff,1
2009-01-31,15,892a1072c8fffff,1
2009-01-31,16,892a1072c87ffff,1
2009-01-31,18,892a100d2a7ffff,1
2009-01-31,21,892a100d20bffff,1
2009-01-31,21,892a10725a7ffff,1
2009-01-31,22,892a100d253ffff,1
2009-01-31,26,892a1072c97ffff,1
2009-01-31,28,892a1072c17ffff,1
2009-01-31,42,892a1008b83ffff,1
2009-01-31,42,892a100d2abffff,1
2009-01-31,46,892a1008917ffff,1
2009-01-31,48,892a1008913ffff,1
2009-01-31,53,892a100d237ffff,1
2009-01-31,54,892a100d697ffff,1
2009-01-31,55,892a107288bffff,1
2009-01-31,63,892a10088afffff,1
2009-01-31,69,892a1008927ffff,1
