fecha,t,z1,z2,z3,z4,z5,z6
2009-01-03,137,-0.03313666,-0.015888127,-0.012064359,-0.046204235,-0.020606712,-0.020957256
2009-01-03,140,-0.01475813,-0.010257084,-0.0052254894,-0.015492515,-9.890891e-05,-0.010132036
2009-01-03,142,-0.046112724,-0.05363644,-0.0024004374,-0.03262501,0.16508037,0.16742063
2009-01-10,1,-0.027744727,-0.04128806,-0.0015822594,-0.032994114,-0.0446249,-0.055752065
2009-01-10,4,-0.029082084,-0.0067909528,-0.00979153,-0.016132394,0.0055300714,-0.02384781
2009-01-10,6,-0.022529226,-0.00016429459,0.042074185,-0.024782592,-0.01926151,-0.047347948
2009-01-10,8,-0.03811548,-0.040920552,0.03871323,-0.1216986,-0.8029591,0.4688941
2009-01-10,14,-0.018412808,-0.0148993675,-0.008092998,-0.009420131,0.0010374252,-0.009184632
2009-01-10,15,-0.01865616,-0.008041637,0.0020453196,-0.009848646,-0.0024554306,0.00095137116
2009-01-10,16,-0.018937998,-0.004551265,0.009733513,0.0038240717,0.0033449696,-0.015277676
2009-01-10,18,-0.01763135,-0.006726862,-0.0027854322,-0.010539877,0.0038984579,-0.009513562
2009-01-10,21,-0.025897285,-0.0010251411,-0.02291189,0.011233485,-0.027514268,0.036108416
2009-01-10,22,-0.02573504,-0.017846132,-0.021833446,-0.03507975,-0.029680764,0.023814375
2009-01-10,36,-0.021836013,-0.011401665,0.0026391894,-0.013179253,0.016702289,0.0062393295
2009-01-10,50,-0.015920037,-0.005664824,-0.0022801391,-0.0074918345,0.0030312066,-0.005953521
2009-01-10,54,0.9798914,0.0054701227,-0.010157512,-0.005081019,-0.0037624417,0.015578414
2009-01-10,55,-0.016964158,-0.008473979,0.00233461,-0.009093698,0.010878745,-0.004197678
2009-01-10,57,-0.015914513,-0.005858058,-0.0018427394,-0.007514452,0.0030777378,-0.0061339634
2009-01-10,61,-0.023732781,-0.016630773,-0.014431682,-0.006041403,-0.0026161538,-0.006378702
2009-01-10,62,-0.01898199,-0.024015456,-0.015043663,0.009332693,0.0004703271,-0.003975664
2009-01-10,63,-0.019124445,-0.008472697,-0.0039002858,-0.012146032,0.0022432301,-0.010655379
2009-01-10,67,-0.016964158,-0.008473979,0.00233461,-0.009093698,0.010878745,-0.004197678
2009-01-10,68,-0.018284593,-0.0077886228,-0.0026276198,-0.010834338,0.0028254197,-0.007804663
2009-01-10,72,-0.010739153,-0.00856405,0.0017830153,-0.010052228,0.005747634,-0.012161349
2009-01-10,78,-0.021740284,-0.031464968,-0.014766331,-0.0010459215,0.054578546,0.03950462
2009-01-10,80,-0.022575194,-0.01797863,0.008333157,-0.004999953,0.012780343,-0.029467028
2009-01-10,82,-0.016331078,-0.017731277,0.0027033177,-0.015457656,0.012785872,-0.03169976
2009-01-10,83,-0.025122808,-0.02647642,-0.018182626,-0.030960863,0.049230944,0.0051590167
2009-01-10,84,-0.030542638,-0.012837163,-0.052273396,-0.09229931,0.006059103,-0.18865164
2009-01-10,87,-0.029096352,-0.12845908,-0.5003909,0.82493985,-0.07117201,0.017181983
2009-01-10,88,-0.02334288,-0.013713875,-0.004277475,-0.018874418,0.01095326,-0.0055271913
2009-01-10,90,-0.018041516,-0.009206327,0.009385751,0.0036467668,0.0015216508,-0.012720325
2009-01-10,91,-0.022804137,-0.033686675,-0.013288321,-0.06509554,-0.05258145,-0.04725804
2009-01-10,92,-0.021740284,-0.031464968,-0.014766331,-0.0010459215,0.054578546,0.03950462
2009-01-10,98,-0.010739153,-0.00856405,0.0017830153,-0.010052228,0.005747634,-0.012161349
2009-01-10,99,-0.015990552,0.013196447,-0.005352227,-0.014981676,0.01377149,-0.012490977
2009-01-10,101,-0.019954262,-0.0047979625,-0.006965234,-0.0071242326,0.0026513312,-0.00012393807
2009-01-10,104,-0.017456964,-0.0033458583,-0.0025066258,-0.0041985135,0.00053505343,-0.004906237
2009-01-10,105,-0.018709604,-0.040398743,-0.005138726,-0.03481152,-0.0706109,-0.042113118
2009-01-10,106,-0.02592554,-0.02059703,-0.006651839,-0.008970475,0.0061062505,0.0021390212
2009-01-10,107,-0.013027582,-0.0054974207,0.0032453872,-0.013649909,0.009893399,-0.014690881
2009-01-10,108,-0.01053786,-0.016152218,0.0035478377,-0.020096602,0.009993782,-0.009318578
2009-01-10,109,-0.016414905,-0.0060979594,-0.0023648392,-0.008331972,0.003779573,-0.00806922
2009-01-10,110,-0.018986385,-0.008677839,-0.0031539837,-0.012608191,0.0049223662,-0.011816093
2009-01-10,111,-0.02035545,0.0011166299,-0.0070612472,-0.020097895,0.015153183,-0.009130951
2009-01-10,114,-0.016074259,-0.0058229775,-0.0023095906,-0.007696764,0.0029909879,-0.005973838
2009-01-10,118,-0.014590836,-0.0071324673,-0.0026645612,-0.008982472,0.003319526,-0.0066446797
2009-01-10,120,-0.026260573,-0.0059631392,-0.00058452215,-0.036379166,0.009629197,-0.010919313
2009-01-10,124,-0.019155147,-0.0047658184,-0.0011322952,-0.007075866,0.0055865613,-0.0150680635
2009-01-10,126,-0.025956588,-0.010307456,-0.0013332418,-0.013558778,0.00019640193,0.0057042856
2009-01-10,134,-0.01475813,-0.010257084,-0.0052254894,-0.015492515,-9.890891e-05,-0.010132036
2009-01-10,137,-0.033889756,-0.12932543,-0.5110213,0.8445674,-0.06728829,0.016186645
2009-01-10,140,-0.028840384,-0.012471752,0.011035055,-0.010439957,-0.011343736,-0.045643777
2009-01-10,141,-0.021602986,-0.018838221,-0.0071146474,-0.028479408,4.5839966e-05,-0.0066451733
2009-01-10,142,-0.022733025,0.00852085,-0.017381875,-0.01985188,0.008267722,-0.026891096
2009-01-10,143,-0.016183771,-0.0074156816,-0.00973014,-0.01236595,0.005541029,-0.0011849647
2009-01-10,144,-0.029841023,-0.025154008,-0.030571936,-0.0121316,0.030283097,0.09938614
2009-01-17,4,-0.010739153,-0.00856405,0.0017830153,-0.010052228,0.005747634,-0.012161349
2009-01-17,7,-0.019782664,-0.004289872,-0.0057528513,0.0010484005,0.0046142153,-0.01093889
2009-01-17,9,-0.034073044,-0.025279269,0.005262432,-0.015388133,-0.021157485,-0.029020313
2009-01-17,12,-0.018466147,0.060656354,0.839934,0.48932853,-0.014022342,-0.020346202
2009-01-17,15,-0.020700976,-0.00497637,-0.007824803,-0.009548251,0.0056652096,-0.016735863
2009-01-17,16,-0.019565491,-0.009218583,-0.0023708644,-0.012491184,0.00748486,-0.004733596
2009-01-17,22,-0.032326885,-0.024139693,-0.01929607,-0.010921464,0.1966242,0.16138156
2009-01-17,23,-0.025488297,-0.017985968,0.0014871445,-0.025303688,-0.013184643,-0.017494816
2009-01-17,26,-0.023098782,-0.015096399,-0.012903299,-0.005128069,0.004581716,-0.0021134585
2009-01-17,27,-0.017696295,-0.011571237,-0.008058037,-0.008795347,0.002956089,-0.013794348
2009-01-17,35,-0.019487862,-0.0035442994,0.0010331598,-0.0090728495,0.01134645,-0.0022384326
2009-01-17,46,-0.014653014,-0.009443465,-0.004315918,-0.013563406,-0.015040122,-0.011401584
2009-01-17,52,-0.019013641,-0.012556584,-0.0074646138,-0.0067545623,0.006693977,-0.010374507
2009-01-17,58,-0.021836013,-0.011401665,0.0026391894,-0.013179253,0.016702289,0.0062393295
2009-01-17,60,-0.018732201,-0.012661878,-0.0046186293,-0.01938293,0.0005741343,-0.007261363
2009-01-17,61,-0.019124445,-0.008472697,-0.0039002858,-0.012146032,0.0022432301,-0.010655379
2009-01-17,62,-0.023082882,0.016551228,0.023412684,-0.013393329,0.003592312,0.08434125
2009-01-17,65,-0.024107782,-0.017587101,-0.010255381,-0.017195506,-0.00512755,-0.024900207
2009-01-17,70,-0.02009997,0.0011420514,-0.012816818,-0.05992341,0.03940954,-0.078606784
2009-01-17,71,-0.016440148,-0.020031648,0.012765538,-0.020756943,0.012079549,-0.045757163
2009-01-17,72,-0.026685426,-0.020252252,-0.0057353475,-0.027649151,0.021710059,-0.0049577937
2009-01-17,74,-0.016458718,-0.0064621167,-0.0019281328,-0.008595897,8.84594e-05,-0.0088525135
