lag,self_coef,neigh_coef,self_abs,neigh_abs
0,12.431220990627816,-0.26063271738802707,12.431220990627816,0.26063271738802707
1,0.14652275145728055,-3.2896125693830496,0.14652275145728055,3.2896125693830496
2,0.07003117727171235,0.02641941621068193,0.07003117727171235,0.02641941621068193
3,0.020351750260823063,0.026411213368523607,0.020351750260823063,0.026411213368523607
4,-0.10196184921237338,-0.15303198902499948,0.10196184921237338,0.15303198902499948
5,-0.03936606411885714,0.21883769630234828,0.03936606411885714,0.21883769630234828
6,0.02943905970719715,0.16112975937509183,0.02943905970719715,0.16112975937509183
7,0.17225386701578702,-0.15776670083214697,0.17225386701578702,0.15776670083214697
8,-0.061793221585091554,-0.028756771636059948,0.061793221585091554,0.028756771636059948
9,0.07257309570247995,0.06160984250089646,0.07257309570247995,0.06160984250089646
10,-0.05009865699814023,-0.14670766300146074,0.05009865699814023,0.14670766300146074
11,0.02199741992381883,-0.06195417289767429,0.02199741992381883,0.06195417289767429
12,0.12512347548475988,0.10125874558658146,0.12512347548475988,0.10125874558658146
