model,logloss,auc,n_train,n_test
M2_time_local_memory,0.21422211659805085,0.7554661197229041,128508,54012
M1_time_plus_local,0.21549380328107928,0.7522057342268589,128508,54012
M0_time_only,0.24655522314861683,0.5713142802618701,128508,54012
